writer_id,file_name,label,text,category
Coverage3,Coverage3/1.png,SUP_01,အဲဒီနေ့က သူ့ရဲ့သူငယ်ချင်းနဲ့ တွေ့ခဲ့တဲ့အကြောင်းကို ပြောတယ်။,SUP
Coverage3,Coverage3/2.png,SUP_02,စာမေးပွဲအောင်ဖို့ ကြိုးစားရမယ်လို့ ဆရာက ဆိုတယ်။,SUP
Coverage3,Coverage3/3.png,SUP_03,လိုအပ်တဲ့စာအုပ်ကို စာကြည့်တိုက်ဆီက ယူပြီး အိမ်ထိ သယ်လာခဲ့တယ်။,SUP
Coverage3,Coverage3/4.png,SUP_04,ဒီမြေကွက်ပဲ ဝယ်မယ့်သူတွေရှိလို့ ဈေးနှုန်းကို သေချာစစ်တယ်။,SUP
Coverage3,Coverage3/5.png,SUP_05,ဥယျာဉ်ထဲမှာ ဂန္ဓမာပန်းနဲ့ ဇီဇဝါပန်းတွေ ပွင့်နေတယ်။,SUP
Coverage3,Coverage3/6.png,SUP_06,ဗိုလ်ချုပ်လမ်းဘေးက ဆေးဆိုင်မှာ ဆေးဝယ်ဖို့ သွားတယ်။,SUP
Coverage3,Coverage3/7.png,SUP_07,ရိပ်သာရှေ့မှာ ယေဘုယျစည်းကမ်းတွေကို ဖတ်ပြီး ရုံးထဲဝင်တယ်။,SUP
Coverage3,Coverage3/8.png,SUP_08,သူက သုံးရက်အတွင်း အလုပ်ပြီးအောင် ကြိုးစားမယ်လို့ ပြောတယ်။,SUP
Coverage3,Coverage3/9.png,SUP_09,မိုးစိုနေတဲ့လမ်းပေါ်မှာ ထီးဆောင်းပြီး ဖြည်းဖြည်းလျှောက်တယ်။,SUP
Coverage3,Coverage3/10.png,SUP_10,ထုတ်ကုန်အသစ်ကို ထေရဝါဒစာအုပ်တွေနဲ့အတူ စာအုပ်ဆိုင်မှာ တင်ထားတယ်။,SUP
Coverage3,Coverage3/11.png,SUP_11,တီဗီကြည့်ပြီး အိပ်ချိန်ရောက်တော့ မီးပိတ်လိုက်တယ်။,SUP
Coverage3,Coverage3/12.png,SUP_12,လွယ်ကူတဲ့နည်းလမ်းကို ဖေဖေက ရှင်းပြပေးတယ်။,SUP
Coverage3,Coverage3/13.png,SUP_13,ခိုင်မာတဲ့တံတားက ကူးသွားဖို့ ပိုလုံခြုံတယ်။,SUP
Coverage3,Coverage3/14.png,SUP_14,နီလာက ချုပ်ထားတဲ့အင်္ကျီကို ဝတ်ပြီး အပြင်ထွက်တယ်။,SUP
Coverage3,Coverage3/15.png,SUP_15,ဝိဇ္ဇာဘာသာကို စိတ်ဝင်စားတဲ့ကျောင်းသားတွေ စာကြည့်တိုက်မှာ လေ့လာကြတယ်။,SUP
Coverage1,Coverage1/1.png,SUP_01,အဲဒီနေ့က သူ့ရဲ့သူငယ်ချင်းနဲ့ တွေ့ခဲ့တဲ့အကြောင်းကို ပြောတယ်။,SUP
Coverage1,Coverage1/2.png,SUP_02,စာမေးပွဲအောင်ဖို့ ကြိုးစားရမယ်လို့ ဆရာက ဆိုတယ်။,SUP
Coverage1,Coverage1/3.png,SUP_03,လိုအပ်တဲ့စာအုပ်ကို စာကြည့်တိုက်ဆီက ယူပြီး အိမ်ထိ သယ်လာခဲ့တယ်။,SUP
Coverage1,Coverage1/4.png,SUP_04,ဒီမြေကွက်ပဲ ဝယ်မယ့်သူတွေရှိလို့ ဈေးနှုန်းကို သေချာစစ်တယ်။,SUP
Coverage1,Coverage1/5.png,SUP_05,ဥယျာဉ်ထဲမှာ ဂန္ဓမာပန်းနဲ့ ဇီဇဝါပန်းတွေ ပွင့်နေတယ်။,SUP
Coverage1,Coverage1/6.png,SUP_06,ဗိုလ်ချုပ်လမ်းဘေးက ဆေးဆိုင်မှာ ဆေးဝယ်ဖို့ သွားတယ်။,SUP
Coverage1,Coverage1/7.png,SUP_07,ရိပ်သာရှေ့မှာ ယေဘုယျစည်းကမ်းတွေကို ဖတ်ပြီး ရုံးထဲဝင်တယ်။,SUP
Coverage1,Coverage1/8.png,SUP_08,သူက သုံးရက်အတွင်း အလုပ်ပြီးအောင် ကြိုးစားမယ်လို့ ပြောတယ်။,SUP
Coverage1,Coverage1/9.png,SUP_09,မိုးစိုနေတဲ့လမ်းပေါ်မှာ ထီးဆောင်းပြီး ဖြည်းဖြည်းလျှောက်တယ်။,SUP
Coverage1,Coverage1/10.png,SUP_10,ထုတ်ကုန်အသစ်ကို ထေရဝါဒစာအုပ်တွေနဲ့အတူ စာအုပ်ဆိုင်မှာ တင်ထားတယ်။,SUP
Coverage1,Coverage1/11.png,SUP_11,တီဗီကြည့်ပြီး အိပ်ချိန်ရောက်တော့ မီးပိတ်လိုက်တယ်။,SUP
Coverage1,Coverage1/12.png,SUP_12,လွယ်ကူတဲ့နည်းလမ်းကို ဖေဖေက ရှင်းပြပေးတယ်။,SUP
Coverage1,Coverage1/13.png,SUP_13,ခိုင်မာတဲ့တံတားက ကူးသွားဖို့ ပိုလုံခြုံတယ်။,SUP
Coverage1,Coverage1/14.png,SUP_14,နီလာက ချုပ်ထားတဲ့အင်္ကျီကို ဝတ်ပြီး အပြင်ထွက်တယ်။,SUP
Coverage1,Coverage1/15.png,SUP_15,ဝိဇ္ဇာဘာသာကို စိတ်ဝင်စားတဲ့ကျောင်းသားတွေ စာကြည့်တိုက်မှာ လေ့လာကြတယ်။,SUP
Coverage10,Coverage10/1.png,SUP_01,အဲဒီနေ့က သူ့ရဲ့သူငယ်ချင်းနဲ့ တွေ့ခဲ့တဲ့အကြောင်းကို ပြောတယ်။,SUP
Coverage10,Coverage10/2.png,SUP_02,စာမေးပွဲအောင်ဖို့ ကြိုးစားရမယ်လို့ ဆရာက ဆိုတယ်။,SUP
Coverage10,Coverage10/3.png,SUP_03,လိုအပ်တဲ့စာအုပ်ကို စာကြည့်တိုက်ဆီက ယူပြီး အိမ်ထိ သယ်လာခဲ့တယ်။,SUP
Coverage10,Coverage10/4.png,SUP_04,ဒီမြေကွက်ပဲ ဝယ်မယ့်သူတွေရှိလို့ ဈေးနှုန်းကို သေချာစစ်တယ်။,SUP
Coverage10,Coverage10/5.png,SUP_05,ဥယျာဉ်ထဲမှာ ဂန္ဓမာပန်းနဲ့ ဇီဇဝါပန်းတွေ ပွင့်နေတယ်။,SUP
Coverage10,Coverage10/6.png,SUP_06,ဗိုလ်ချုပ်လမ်းဘေးက ဆေးဆိုင်မှာ ဆေးဝယ်ဖို့ သွားတယ်။,SUP
Coverage10,Coverage10/7.png,SUP_07,ရိပ်သာရှေ့မှာ ယေဘုယျစည်းကမ်းတွေကို ဖတ်ပြီး ရုံးထဲဝင်တယ်။,SUP
Coverage10,Coverage10/8.png,SUP_08,သူက သုံးရက်အတွင်း အလုပ်ပြီးအောင် ကြိုးစားမယ်လို့ ပြောတယ်။,SUP
Coverage10,Coverage10/9.png,SUP_09,မိုးစိုနေတဲ့လမ်းပေါ်မှာ ထီးဆောင်းပြီး ဖြည်းဖြည်းလျှောက်တယ်။,SUP
Coverage10,Coverage10/10.png,SUP_10,ထုတ်ကုန်အသစ်ကို ထေရဝါဒစာအုပ်တွေနဲ့အတူ စာအုပ်ဆိုင်မှာ တင်ထားတယ်။,SUP
Coverage10,Coverage10/11.png,SUP_11,တီဗီကြည့်ပြီး အိပ်ချိန်ရောက်တော့ မီးပိတ်လိုက်တယ်။,SUP
Coverage10,Coverage10/12.png,SUP_12,လွယ်ကူတဲ့နည်းလမ်းကို ဖေဖေက ရှင်းပြပေးတယ်။,SUP
Coverage10,Coverage10/13.png,SUP_13,ခိုင်မာတဲ့တံတားက ကူးသွားဖို့ ပိုလုံခြုံတယ်။,SUP
Coverage10,Coverage10/14.png,SUP_14,နီလာက ချုပ်ထားတဲ့အင်္ကျီကို ဝတ်ပြီး အပြင်ထွက်တယ်။,SUP
Coverage10,Coverage10/15.png,SUP_15,ဝိဇ္ဇာဘာသာကို စိတ်ဝင်စားတဲ့ကျောင်းသားတွေ စာကြည့်တိုက်မှာ လေ့လာကြတယ်။,SUP
